                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0311,                  2.601,                0.96792,                0.15177,                 0.4633,                0.20464,                0.17616,                0.52904,                 1.7482,                0.76134,               0.070072,              0.0029563,              0.0029563
                      2,                0.82173,                 1.5683,                0.86758,                 0.2433,                0.60634,                0.32946,                0.27622,                0.57901,                 1.4333,                0.77373,               0.039704,              0.0057413,              0.0057413
                      3,                0.79795,                  1.417,                0.84521,                0.35598,                 0.5718,                0.44411,                0.36965,                0.50584,                   1.35,                0.75083,              0.0091387,              0.0083301,              0.0083301
                      4,                0.67975,                 1.3573,                0.81243,                0.34622,                0.54529,                0.38046,                0.31698,                0.58679,                 1.2929,                0.77337,               0.008102,               0.008102,               0.008102
                      5,                0.66264,                 1.2034,                0.80851,                0.46274,                0.58149,                0.48192,                0.30621,                 1.1379,                 1.1658,                  1.054,               0.007806,               0.007806,               0.007806
                      6,                 0.6018,                 1.1426,                0.79735,                0.39866,                0.61385,                0.48574,                0.42467,                0.43192,                 1.0621,                0.74255,              0.0075101,              0.0075101,              0.0075101
                      7,                0.57238,                 1.0855,                0.79103,                0.40006,                0.64685,                0.51222,                0.42925,                0.54547,                  1.049,                0.78104,              0.0072141,              0.0072141,              0.0072141
                      8,                0.53648,                 1.0526,                0.78144,                0.43587,                0.57093,                0.49073,                0.44001,                0.39823,                 1.0838,                0.73088,              0.0069181,              0.0069181,              0.0069181
                      9,                0.52056,                 1.0409,                0.77513,                0.48094,                0.60773,                0.53686,                0.48005,                0.37963,                0.97463,                 0.7228,              0.0066221,              0.0066221,              0.0066221
                     10,                0.49247,                  1.017,                0.76859,                0.42867,                 0.5767,                0.52106,                0.46789,                0.39525,                 1.0157,                0.73187,              0.0063261,              0.0063261,              0.0063261
                     11,                0.49103,                0.97892,                0.77265,                 0.4877,                0.64088,                0.57559,                0.52175,                0.35784,                0.95492,                0.71874,              0.0060301,              0.0060301,              0.0060301
                     12,                0.45925,                 0.9286,                0.75761,                0.56385,                0.61321,                0.60398,                0.52401,                0.44754,                0.89921,                0.75441,              0.0057341,              0.0057341,              0.0057341
                     13,                0.45452,                0.90565,                 0.7608,                0.49565,                0.60825,                0.56388,                0.52103,                0.33949,                  0.913,                0.71558,              0.0054381,              0.0054381,              0.0054381
                     14,                0.44117,                0.89283,                0.75494,                0.53423,                0.62908,                 0.6113,                 0.5638,                 0.3164,                0.87899,                0.71591,              0.0051421,              0.0051421,              0.0051421
                     15,                0.42775,                0.87136,                0.75759,                0.52787,                  0.654,                0.62688,                0.58173,                0.32786,                0.84779,                0.71905,              0.0048461,              0.0048461,              0.0048461
                     16,                0.41055,                0.83594,                0.75156,                0.49297,                0.64805,                0.58823,                0.55275,                0.30324,                0.87594,                 0.7087,              0.0045502,              0.0045502,              0.0045502
                     17,                 0.4083,                0.83734,                0.74742,                 0.6154,                0.59726,                0.63823,                0.49799,                0.62263,                0.86748,                 0.8463,              0.0042542,              0.0042542,              0.0042542
                     18,                0.38914,                 0.8086,                0.73858,                0.52814,                0.66166,                0.63985,                 0.5929,                0.33634,                0.82693,                0.71121,              0.0039582,              0.0039582,              0.0039582
                     19,                0.38622,                0.77817,                0.74955,                0.58152,                0.60843,                0.62002,                0.58816,                0.26864,                0.81497,                0.69913,              0.0036622,              0.0036622,              0.0036622
                     20,                0.37757,                0.75164,                0.73857,                0.57216,                0.64441,                0.63642,                0.59813,                0.29557,                 0.8136,                0.71089,              0.0033662,              0.0033662,              0.0033662
                     21,                0.29687,                0.68575,                0.70547,                0.60876,                0.60899,                0.65741,                0.62619,                0.26612,                0.79374,                0.69971,              0.0030702,              0.0030702,              0.0030702
                     22,                0.28544,                0.66346,                0.70111,                0.57486,                0.64578,                0.64214,                0.60512,                0.27423,                0.85885,                0.70156,              0.0027742,              0.0027742,              0.0027742
                     23,                0.27753,                0.61516,                0.70201,                 0.5702,                0.64483,                0.65799,                0.62554,                0.26592,                 0.7981,                0.70187,              0.0024782,              0.0024782,              0.0024782
                     24,                0.26399,                0.58248,                0.69339,                0.64282,                0.65077,                0.67938,                0.64767,                0.25421,                0.77841,                0.70051,              0.0021822,              0.0021822,              0.0021822
                     25,                0.26363,                0.55873,                0.69611,                 0.6163,                0.68287,                0.68495,                0.65341,                0.24713,                0.75643,                0.69383,              0.0018862,              0.0018862,              0.0018862
                     26,                0.24745,                0.54572,                0.68717,                 0.5997,                0.69571,                0.69231,                0.66362,                 0.2452,                0.76255,                0.69894,              0.0015903,              0.0015903,              0.0015903
                     27,                0.24373,                0.50752,                0.69026,                0.61825,                0.69088,                0.69477,                0.66897,                0.23911,                0.76256,                0.69724,              0.0012943,              0.0012943,              0.0012943
                     28,                0.23836,                0.47195,                0.68806,                0.64823,                0.69055,                0.70107,                0.67253,                0.23147,                0.77369,                 0.6947,             0.00099828,             0.00099828,             0.00099828
                     29,                0.23148,                0.45334,                0.68714,                 0.6445,                0.67762,                0.69235,                0.66655,                0.23322,                 0.7874,                0.69656,             0.00070229,             0.00070229,             0.00070229
                     30,                0.22802,                0.41465,                 0.6858,                0.63998,                0.67363,                0.70185,                0.67603,                0.22542,                0.77508,                0.69505,              0.0004063,              0.0004063,              0.0004063
